Index;Altitude;Certification;Code postal;Consommation;Année Construction;kgCO2;Coût des travaux;€/m²;kgCO2/€;Département;Emission CO2;Emission CO3;Fiabilité;Livraison;Niv. énergetique;Permis;Respect Effinergie+;Respect RT2012;SDP;SRT;Shon;Shon RT;Surface;Surface reglementaire;Travaux;Type bâtiment;Usage principal;Ville;Zone climatique;_graph-conso-globale_5 usages réglementaires;_graph-conso-globale_Autres Usages;_graph-conso-globale_Mobilité / Déplacements;_graph-pie-contrib_Chantier;_graph-pie-contrib_Eau;_graph-pie-contrib_Energie;_graph-pie-contrib_Produits de Constructions et Equipements;E,GES;_graph-pie-decomp-composant_Appareils élévateurs;_graph-pie-decomp-composant_Chauffage, ventilation, ECS, froid;_graph-pie-decomp-composant_Cloisonnement, Doublage, Menuiseries intérieures;_graph-pie-decomp-composant_Couverture,Charpente, Étanchéité;_graph-pie-decomp-composant_Equipements de production d’énergie;_graph-pie-decomp-composant_Façades et menuiseries extérieures;_graph-pie-decomp-composant_Fluides frigorigènes;_graph-pie-decomp-composant_Fondations et infrastructures;_graph-pie-decomp-composant_Maçonnerie, Superstructure;_graph-pie-decomp-composant_Revêtements sol mur et plafonds, chapes, décoration;_graph-pie-decomp-composant_Réseaux de communication;_graph-pie-decomp-composant_Réseaux d’énergie;_graph-pie-decomp-composant_Sanitaire;_graph-pie-decomp-composant_VRD;Colonne2;_graph-pie-eges_obs_Chauffage;_graph-pie-eges_obs_ECS;_graph-pie-eges_obs_Eclairage;_graph-pie-eges_obs_Refroidissement;_graph-pie-eges_obs_VMC & Auxiliaires;_graph-pie-perf_obs_Auxiliaires;_graph-pie-perf_obs_Chauffage;_graph-pie-perf_obs_ECS;_graph-pie-perf_obs_Eclairage;_graph-pie-perf_obs_Refroidissement;_graph-pie-perf_obs_VMC;Colonne1;_graph-pie-phase_Construction;_graph-pie-phase_Fin de vie;_graph-pie-phase_Production;_graph-pie-phase_Utilisation;_graph-pie-repart_deperd2_Autres planchers hauts et toitures (A2);_graph-pie-repart_deperd2_Liaisons plancher bas avec mur (L8);_graph-pie-repart_deperd2_Liaisons plancher haut A3 avec mur (L10);_graph-pie-repart_deperd2_Liaisons plancher intermédiaire avec mur (L9);_graph-pie-repart_deperd2_Parois verticales opaques (A1);_graph-pie-repart_deperd2_Parois vitrées non résidentiel (A6);_graph-pie-repart_deperd2_Parois vitrées résidentiel (A7);_graph-pie-repart_deperd2_Planchers bas (A4);_graph-pie-repart_deperd2_Planchers hauts en béton ou en maçonnerie (A3);_graph-pie-repart_deperd2_Portes (A5);Colonne3;_graph_donne_eco_Autres;_graph_donne_eco_Chauffage - VMC - Plomberie;_graph_donne_eco_Chauffage, ECS, Ventilation;_graph_donne_eco_Clos Couvert;kgCO2/€ Clos couvert;_graph_donne_eco_ENR;_graph_donne_eco_Electricité;_graph_donne_eco_Electricité - PV;_graph_donne_eco_Gros Oeuvre - Structure - Bardage;kgCO2/€ gros œuvre structure bardage;_graph_donne_eco_Second Œuvre3;kgCO2/€ second œuvre;_graph_donne_eco_Système CVC - Electricité;_index_num;_repart_deperd_Baies en hiver;_repart_deperd_Murs;_repart_deperd_Plancher bas;_repart_deperd_Ponts thermiques;_repart_deperd_Toitures;url
6633;3;;34470;4.4;2019;857;4442199;1061.45734767025;0.807380533830204;;;0;Certifié. Démarche bdm;09-2019;BEPOS effinergie 2017 - E3C1;2017-01-01;;;;4186;;;4185;;Neuf - RT 2012 - E+C-;Logements collectifs - Public;;Pérols;H3;;;;17;97;697;857;1668;105;181;110;71;112;214;14;95;454;227;14;115;60;19;1791;;;;;;2.3;18.8;21.4;5.7;;4.1;;;;;;;;;;;;;;;;0;114150;;;;;;;;;;;;632949;6633;657;666;123;512;84;https://www.observatoirebbc.org/projets/neuf/6633
6633;3;;34470;4.4;2019;857;4442199;1061.45734767025;0.807380533830204;;;0;Certifié. Démarche bdm;09-2019;BEPOS effinergie 2017 - E3C1;2017-01-01;;;;4186;;;4185;;Neuf - RT 2012 - E+C-;Logements collectifs - Public;;Pérols;H3;;;;17;97;697;857;1668;105;181;110;71;112;214;14;95;454;227;14;115;60;19;1791;;;;;;2.3;18.8;21.4;5.7;;4.1;;;;;;;;;;;;;;;;0;114150;;;;;;;;;;;;632949;6633;657;666;123;512;84;https://www.observatoirebbc.org/projets/renovation/6633
1705;310;;01000;65.56;;0;;0;;;;0;Appel à projets;09-2009;BBC-Effinergie;2008-06-01;;;;;566;;566;;Neuf - RT 2005;Tertiaire - Privé;Immeuble Bureaux;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0.99;37.62;;30.96;;13.75;;;;;;27.87;20.59;;10.36;85.85;162.08;;39.02;;21.56;0;;;;;;;;;;;0;;;1705;;;;;;https://www.observatoirebbc.org/projets/neuf/1705
1971;226;;01000;50.95;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;309;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.74;29.25;12.15;6.38;;4.39;;;;;;;5.18;32.38;20.64;63.36;;66.42;18.13;9.56;9.44;0;;;;;;;;;;;0;;;1971;;;;;;https://www.observatoirebbc.org/projets/neuf/1971
1972;226;;01000;50.31;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;311;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.73;28.93;12.15;6.43;;4.36;;;;;;;8.89;31.74;20.32;61.67;;66.42;17.32;9.67;9.44;0;;;;;;;;;;;0;;;1972;;;;;;https://www.observatoirebbc.org/projets/neuf/1972
1973;226;;01000;52.84;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;671;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.02;29.13;14.74;7.33;;2.53;;;;;;;16.05;86.74;32.93;107.06;;134.02;58.18;25.46;28.35;0;;;;;;;;;;;0;;;1973;;;;;;https://www.observatoirebbc.org/projets/neuf/1973
1974;226;;01000;52.2;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;666;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;1.99;29.11;14.51;6.88;;2.55;;;;;;;19.34;87.01;27.46;97.65;;142.27;56.69;25.76;28.35;0;;;;;;;;;;;0;;;1974;;;;;;https://www.observatoirebbc.org/projets/neuf/1974
1975;226;;01000;51.23;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;626;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.01;28.63;14.05;6.83;;2.71;;;;;;;22.04;79.95;25.46;96.51;;123.16;55.44;24.37;25.2;0;;;;;;;;;;;0;;;1975;;;;;;https://www.observatoirebbc.org/projets/neuf/1975
1976;226;;01000;50.32;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;703;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;1.93;27.64;14.18;6.96;;2.41;;;;;;;16.68;84.25;33.61;109.41;;139.84;55.9;25.55;28.35;0;;;;;;;;;;;0;;;1976;;;;;;https://www.observatoirebbc.org/projets/neuf/1976
1977;226;;01000;52.79;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;246;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.2;31.4;13.44;6.28;;3.68;;;;;;;4.25;29.33;15.92;52.35;;55.71;14.5;7.66;9.44;0;;;;;;;;;;;0;;;1977;;;;;;https://www.observatoirebbc.org/projets/neuf/1977
